index,Drug_Name,Reason,Description,Description_Length
9068,qutan 300mg tablet 10'squtan sr 300mg tablet 10'squtan sr 50mg tablet 10'squtan 25mg tablet 10'squtan 200mg tablet 10'squtan 50mg tablet 10'squtan sr 400mg tablet 10'squtan 100mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9069,zaporil 50mg tablet 10'szaporil 25mg tablet 10'szaporil 100mg tablet 10'szaporil 12.5mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9070,zeneril 50mg tablet 10'szeneril 25mg tablet 10'szeneril 10mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9071,zepid 2mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9072,zisper md 2mg tablet 10'szisper plus tablet 10'szisper 2mg tablet 10'szisper forte tablet 10'szisper 1mg tablet 10'szisper ls tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9073,zisper md 1mg tablet 10's,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness",17
9074,zypine 7.5mg tablet 10's,Schizophrenia,"â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. people with this disease may also feel depressed, anxious or tense",34
9075,zypine md 10mg tablet 10'szypine md 2.5mg tablet 10'szypine md 5mg tablet 10'szypine md 15mg tablet 10'szypine md 20mg tablet 10's,Schizophrenia,"depression and major depressive episodes in major depressive disorder: you may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep",26
9076,2baconil tts20 14mg patch 7's2baconil icy mint 2mg chew gum 50's2baconil tts30 21mg patch 7's2baconil icy mint 4mg chew gum 50's2baconil tts10 7mg patch 7's,Smoking,stops smoking completely,3
9077,2baconil icy mint 4mg chew gum 10's,Smoking,stops smoking completely,3
9078,kwitz mint flavour 2mg chew gum 10'skwitz mint flavour 4mg chew gum 10's,Smoking,stops smoking completely,3
9079,niclonz 4mg pastille 10'sniclonz 2mg pastille 10's,Smoking,stops smoking completely,3
9080,nicochew 2mg gum 10'snicochew 4mg gum 10's,Smoking,stops smoking completely,3
9081,nicogum chew gum 4mg tablet 10'snicogum 2mg tablet 15'snicogum 2mg chew gum tablet 10's,Smoking,stops smoking completely,3
9082,nicogum 4 freshmint chew gum 10's,Smoking,stops smoking completely,3
9083,nicorette 2mg tablet 10'snicorette 2mg tablet 4'snicorette 4mg tablet 10's,Smoking,stops smoking completely,3
9084,nicotex 2mg sugar free pan chew gum 10'snicotex cinnamon flavour 4mg chew gum tablet 9'snicotex sugarfree 4mg chew gum tablet 9'snicotex paan flavour 4mg chew gum tablet 9'snicotex classic fresh mint flavour 4mg chew gum tablet 9'snicotex mint plus flavour 4mg chew gum tablet 9'snicotex teeth whitening mint plus 4mg chew gum tablet 9's,Smoking,stops smoking completely,3
9085,nicotex plus 2mg tablet 25'snicotex plus 4mg tablet 25'snicotex plus 4mg tablet 9'snicotex plus 2mg tablet 9's,Smoking,stops smoking completely,3
9086,nicotine 4mg gum 9'snicotine 2mg gum 9's,Smoking,stops smoking completely,3
9087,nrt 1mg tablet 10's,Smoking,stops smoking completely,3
9088,nulife 4mg tablet 12's,Smoking,stops smoking completely,3
9089,quitsure 4mg tablet 10'squitsure 2mg tablet 10's,Smoking,stops smoking completely,3
9090,smokefree 2mg gum 10'ssmokefree 4mg gum 10's,Smoking,stops smoking completely,3
9091,tobaquit 2mg gum 10'stobaquit 4mg gum 10's,Smoking,stops smoking completely,3
9092,2 b12 capsule 15's,Supplement,"â vitamin c,â vitamin a, vitamin d3, vitamin e, vitamin b3, vitamin b5, vitamin b2,â vitamin b6, vitamin b1, biotin",20
9093,24 karat tablet 10's,Supplement,"minerals such as iron, iodine, zinc, manganese, molybdenum",8
9094,36 d 60000iu capsule 4's,Supplement,"â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition",20
9095,3d 60 k capsule 4's,Supplement,"used during increase in demand for vitamins, minerals and trace elements",11
9096,3d forte drops 15ml3d forte 60k chew tablet 4's,Supplement,enhances the body immunity,4
9097,4 bones tablet 15's,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body",15
9098,4u q10 capsule 10's,Supplement,"â vitamin c,â vitamin a, vitamin d3, vitamin e, vitamin b3, vitamin b5, vitamin b2,â vitamin b6, vitamin b1, biotin",20
9099,4u q10 forte 300mg capsule 30's4u q10 forte capsule 15's,Supplement,"minerals such as iron, iodine, zinc, manganese, molybdenum",8
9100,4u q10 gold capsule 10's,Supplement,"â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition",20
9101,4u q10 plus capsule 10's,Supplement,"used during increase in demand for vitamins, minerals and trace elements",11
9102,6 art tablet 10's,Supplement,enhances the body immunity,4
9103,a to z powder 1kga to z gold ns capsule 15'snew a to z gold softgel 15'sa to z syrup 100ml,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body",15
9104,a to z ns drops 15mla to z ns syrup 200ml,Supplement,â lowers general cholesterol level,5
9105,a to z ns new tablet 15's,Supplement,prevents cholesterol from depositing on artery walls,7
9106,a to z ors sachet 4.3gma to z ors sachet 21.5gm,Supplement,"â vitamin c,â vitamin a, vitamin d3, vitamin e, vitamin b3, vitamin b5, vitamin b2,â vitamin b6, vitamin b1, biotin",20
9107,a to z woman capsule 15's,Supplement,"minerals such as iron, iodine, zinc, manganese, molybdenum",8
9108,abdec forte drops 15ml,Supplement,"â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition",20
9109,abdifer xt tablet 10's,Supplement,"used during increase in demand for vitamins, minerals and trace elements",11
9110,abetcola tablet 10's,Supplement,enhances the body immunity,4
9111,abitol 2mg syrup 200ml,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body",15
9112,abocal 500mg tablet 15's,Supplement,â lowers general cholesterol level,5
9113,abound plus capsule 10's,Supplement,prevents cholesterol from depositing on artery walls,7
9114,absolut syrup 200mlabsolut capsule 10'sabsolut dm injection 1mlabsolut syrup 100ml,Supplement,"lowersâ the triglyceride level; triglycerides are another form of fat, present in blood which promotes heart disease",17
9115,absolut 3.6.9 capsule 10's,Supplement,â antioxidant and memory enhancement property,6
9116,absolut 3g capsule 10's,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production,15
9117,absolut dm 500mcg injection 4mlabsolut dm capsule 10's,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health",12
9118,absolut woman capsule 10's,Supplement,powerful antioxidant that strengthens and protects living tissue,8
9119,absotrend q10 tablet 10's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage",14
9120,accura tablet 10's,Supplement,"â vitamin c,â vitamin a, vitamin d3, vitamin e, vitamin b3, vitamin b5, vitamin b2,â vitamin b6, vitamin b1, biotin",20
9121,ace ex capsule 10's,Supplement,"minerals such as iron, iodine, zinc, manganese, molybdenum",8
9122,aces capsule 10's,Supplement,"â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition",20
9123,acigene orange flavour tablet 10's,Supplement,"used during increase in demand for vitamins, minerals and trace elements",11
9124,acm 200mg tablet 90's,Supplement,enhances the body immunity,4
9125,actibase vanilla powder 200gmactibase powder 200gmactibase neutral powder 200gm,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body",15
9126,actifol tablet 10's,Supplement,â lowers general cholesterol level,5
9127,actigrow vanilla powder 400gmactigrow choco powder 400gmactigrow chocolate powder 180gmactigrow powder 400gm,Supplement,prevents cholesterol from depositing on artery walls,7
9128,actihep capsule 10's,Supplement,"â vitamin c,â vitamin a, vitamin d3, vitamin e, vitamin b3, vitamin b5, vitamin b2,â vitamin b6, vitamin b1, biotin",20
9129,actilife tablet 15'sactilife liquid 200mlactilife powder 300gm,Supplement,"minerals such as iron, iodine, zinc, manganese, molybdenum",8
9130,actilife kid powder 200gm,Supplement,"â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition",20
9131,actilife mom powder 200gm,Supplement,"used during increase in demand for vitamins, minerals and trace elements",11
9132,actilife pro powder 200gm,Supplement,enhances the body immunity,4
9133,activate tablet 10's,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body",15
9134,activision capsule 10's,Supplement,â lowers general cholesterol level,5
9135,activkids unobiotics junior sachet 1gm,Supplement,prevents cholesterol from depositing on artery walls,7
9136,acucal tablet 10's,Supplement,"lowersâ the triglyceride level; triglycerides are another form of fat, present in blood which promotes heart disease",17
9137,acvit 12 500mcg injection 1ml,Supplement,â antioxidant and memory enhancement property,6
9138,acylcar tablet 10's,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production,15
9139,adb min multi power syrup 100mladb min multi power syrup 200ml,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health",12
9140,adboost tablet 10's,Supplement,powerful antioxidant that strengthens and protects living tissue,8
9141,add epa capsule 4's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage",14
9142,add3 400iu capsule 10'sadd3 2000iu capsule 10'sadd3 6000iu capsule 4's,Supplement,"â vitamin c,â vitamin a, vitamin d3, vitamin e, vitamin b3, vitamin b5, vitamin b2,â vitamin b6, vitamin b1, biotin",20
9143,addphos tablet 10's,Supplement,"minerals such as iron, iodine, zinc, manganese, molybdenum",8
9144,adeb t syrup 200mladeb t capsule 10'sadeb t oral drops 15ml,Supplement,"â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition",20
9145,adecoba capsule 10's,Supplement,"used during increase in demand for vitamins, minerals and trace elements",11
9146,adenoxyl hb tablet 10's,Supplement,enhances the body immunity,4
9147,adesam 200mg tablet 10'sadesam 400mg tablet 10's,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body",15
9148,adetral 400mg tablet 10's,Supplement,â lowers general cholesterol level,5
9149,adferol 60k capsule 4's,Supplement,prevents cholesterol from depositing on artery walls,7
9150,adgain capsule 10's,Supplement,"â vitamin c,â vitamin a, vitamin d3, vitamin e, vitamin b3, vitamin b5, vitamin b2,â vitamin b6, vitamin b1, biotin",20
9151,adgain plus capsule 10's,Supplement,"minerals such as iron, iodine, zinc, manganese, molybdenum",8
9152,adhair tablet 10's,Supplement,"â used in unbalanced diets in case of loss of appetite due to diseases or drugs, incomplete or interrupted nutrition",20
9153,admax capsule 10's,Supplement,"used during increase in demand for vitamins, minerals and trace elements",11
9154,admax r 500/7.5/2.5mg capsule 10's,Supplement,enhances the body immunity,4
9155,admax xt capsule 10's,Supplement,"used when there is increased loss of vitamins, minerals and trace elements from the body",15
9156,admensia tablet 10's,Supplement,â lowers general cholesterol level,5
9157,adtrol softgel 10's,Supplement,prevents cholesterol from depositing on artery walls,7
